member_casual,start_month,total_riders
casual,April,147285
member,April,279304
casual,August,311110
member,August,460553
casual,December,51672
member,December,172399
casual,February,43016
member,February,147428
casual,January,40008
member,January,150293
casual,July,331352
member,July,436287
casual,June,301228
member,June,418387
casual,March,62201
member,March,196477
casual,May,234181
member,May,370644
casual,November,98361
member,November,264103
casual,October,177068
member,October,360035
casual,September,261624
member,September,404727