start_station_name,casual_rides,member_rides,total_rides,casual_to_member_ratio
Streeter Dr & Grand Ave,42994,16037,59031,2.6809253601047578
DuSable Lake Shore Dr & Monroe St,28460,9156,37616,3.1083442551332459
Michigan Ave & Oak St,20913,13504,34417,1.5486522511848342
DuSable Lake Shore Dr & North Blvd,18636,14199,32835,1.3124867948447074
Clark St & Elm St,9803,22794,32597,0.43006931648679475
Kingsbury St & Kinzie St,8044,23934,31978,0.33609091668755747
Clinton St & Washington Blvd,5883,23972,29855,0.24541131319873186
Wells St & Concord Ln,10747,18985,29732,0.566078483012905
Millennium Park,18700,9094,27794,2.0563008577083792
Theater on the Lake,14934,12839,27773,1.1631747020796013