start_station_name,casual_rides
Streeter Dr & Grand Ave,42994
DuSable Lake Shore Dr & Monroe St,28460
Michigan Ave & Oak St,20913
Millennium Park,18700
DuSable Lake Shore Dr & North Blvd,18636
Shedd Aquarium,16799
Theater on the Lake,14934
Dusable Harbor,14434
Adler Planetarium,11223
Montrose Harbor,10812
Indiana Ave & Roosevelt Rd,10787
Wells St & Concord Ln,10747
Michigan Ave & 8th St,10212
Clark St & Armitage Ave,9939
Clark St & Lincoln Ave,9828
Clark St & Elm St,9803
Wilton Ave & Belmont Ave,9168
Wells St & Elm St,8932
Wabash Ave & Grand Ave,8837
Michigan Ave & Washington St,8489